date,open,high,low,close,volume
2024-10-12 07:00:00,152.96,152.75,154.42,151.27,899094.611621
2024-10-12 03:00:00,152.03,152.99,153.23,151.4,473377.151216
2024-10-11 23:00:00,152.28,152.02,152.6,151.42,599531.443942
2024-10-11 19:00:00,152.38,152.23,152.75,150.85,527435.82715231
2024-10-11 15:00:00,151.19,152.46,153.25,150.72,912020.094839
2024-10-11 11:00:00,151.26,151.19,157.29,150.25,2734159.212975
2024-10-11 07:00:00,152.64,151.3,153.24,151.05,779014.887355
2024-10-11 03:00:00,153.08,152.53,153.99,151.32,646803.303713
2024-10-10 23:00:00,150.84,153.13,154,149.56,1326634.486513
2024-10-10 19:00:00,151.97,150.87,154.41,148.72,1535119.407025
2024-10-10 15:00:00,151.75,151.97,152.86,151.18,1086097.361094
2024-10-10 11:00:00,152.16,151.81,152.39,150.27,841200.491603
2024-10-10 07:00:00,149.91,152.05,152.45,149.63,602979.150959
2024-10-10 03:00:00,147.35,150,150.63,146.78,501889.600317
2024-10-09 23:00:00,148.81,147.43,149.35,146.09,801226.48461
2024-10-09 19:00:00,150.77,148.77,152.51,148.48,1125346.134721
2024-10-09 15:00:00,152.83,150.65,153.96,150.5,986840.894576
2024-10-09 11:00:00,154.01,152.83,154.77,152.73,761131.747619
2024-10-09 07:00:00,151.98,154.11,154.74,151.56,779274.424837
2024-10-09 03:00:00,149.25,151.98,152.2,148.94,559972.238778
2024-10-08 23:00:00,151.22,149.29,151.72,148.67,562362.938148
2024-10-08 19:00:00,147.96,151.2,152.66,147.74,1471373.610824
2024-10-08 15:00:00,146.51,148.04,149.41,146.05,1259235.576923
2024-10-08 11:00:00,145.6,146.65,146.99,145.17,1171325.238493
2024-10-08 07:00:00,146.67,145.57,147.01,145.15,738866.596877
2024-10-08 03:00:00,144.43,146.62,147.32,143.91,670898.868032
2024-10-07 23:00:00,146.1,144.61,146.63,143.95,601762.489694
2024-10-07 19:00:00,147.67,146,148.1,144.21,1193544.983424
2024-10-07 15:00:00,145.82,147.68,148.83,145.42,834298.181381
2024-10-07 11:00:00,146.64,145.82,147.13,143.91,755847.103479
2024-10-07 07:00:00,147,146.67,148,146.45,442144.570002
2024-10-07 03:00:00,147.91,147.04,148.64,146.77,564267.967303
2024-10-06 23:00:00,148.44,147.95,148.55,146.52,616401.616249
2024-10-06 19:00:00,149.8,148.38,150.53,147.36,1232214.85899
2024-10-06 15:00:00,151.37,149.85,151.7,149.62,1185580.165725
2024-10-06 11:00:00,152.13,151.33,152.83,150.97,905631.356834
