date,open,high,low,close,volume
2024-09-18,172.46,171.2,174.95,169.86,7376610.984153
2024-09-17,170.61,172.47,173.28,168.87,5890228.417928
2024-09-16,170.12,170.45,171.81,167.02,8480399.799409
2024-09-15,169.52,170.12,172,169,5971393.893194
2024-09-14,170.42,169.56,171.4,167.55,7130292.734784
2024-09-13,171.77,170.44,173,169.62,5967378.1814424882
2024-09-12,173.17,171.77,175.57,168.44,6986297.414673
2024-09-11,167.54,173.21,174.83,166.54,6442926.572646
2024-09-10,170.93,167.54,171.94,165.14,8996078.2924304734
2024-09-09,172.06,170.92,174.19,169.55,6843542.609386
2024-09-08,167.89,172.02,177.79,167.69,8280765.679712
2024-09-07,165.22,167.89,173.43,162.32,7390835.68733
2024-09-06,172.54,165.38,174.12,163.78,6005999.6508910938
2024-09-05,170.61,172.53,177.68,169.72,7741376.1277535796
2024-09-04,173.06,170.59,175.32,170.22,4983814.5101406826
2024-09-03,170.57,173.02,175.86,169.33,7397271.432235
2024-09-02,169.74,170.6,171.48,166.82,5794775.984849
2024-09-01,168.96,169.86,172.29,164.08,5855858.805384
2024-08-31,168.31,168.79,172.66,161.02,6235402.8036070176
2024-08-30,161.85,168.44,168.75,160.68,6036379.804275
2024-08-29,157.94,161.99,166.46,155.93,5160195.354116
2024-08-28,155.7,157.97,160.47,153.3,7351910.8172528083
2024-08-27,167.04,155.82,168.31,155.11,10385626.296494
2024-08-26,166.64,167.14,169.4,162.58,7268578.280686
2024-08-25,169.62,166.64,171.87,165.75,6980402.508124208
2024-08-24,173.04,169.64,177.15,167.48,9912702.5564464396
2024-08-23,168.55,173.01,173.43,162.92,8214400.1747049426
2024-08-22,161.48,168.74,170,159.82,7677805.753307
2024-08-21,159.59,161.39,162.87,156.29,5806360.8306294316
2024-08-20,155.06,159.6,161.54,154,8580130.030433
2024-08-19,151.27,155.06,157.19,149.88,5677069.245302
2024-08-18,150.49,151.26,153.12,149.33,3407781.296633
2024-08-17,148.51,150.47,150.47,148.26,2596405.819019
2024-08-16,149.52,148.45,151.5,147.73,3874851.737087
2024-08-15,151.5,149.49,153.67,147.84,2976647.640354
2024-08-14,147.54,151.5,152.6,147.53,2938290.322994
2024-08-13,150.53,147.62,151.15,147.29,2962352.472299
2024-08-12,149.17,150.62,151.1,147.46,3710031.38589
2024-08-11,150.67,149.16,151.84,148.07,3253114.4856872945
2024-08-10,152.91,150.5,153,147.5,3086104.719591
2024-08-09,158.2,152.91,160.13,152.16,4122824.0627353116
2024-08-08,146.05,158.13,160.27,145.44,4518493.25859
2024-08-07,147.99,146.05,153.05,143.61,5753361.299208
2024-08-06,145.81,148.05,151.9,145.81,5408515.920565
2024-08-05,150.79,145.79,154.59,135.4,12488507.565945
2024-08-04,149.35,150.77,154.26,144.51,9062433.080517
2024-08-03,158.17,149.4,161.97,140.67,11559656.6590002664
2024-08-02,156.81,158.2,165.12,155.36,8482402.7027174757
2024-08-01,157.71,156.66,158.85,150.06,6735111.499133
2024-07-31,158.02,157.78,161.45,155.71,6310454.252128
2024-07-30,161.27,158.15,165.36,155.81,5824409.954454
2024-07-29,164.84,161.21,165.84,160.98,3704881.585139
2024-07-28,162.4,164.6,165.24,159.81,3227663.391783
2024-07-27,161.27,162.39,166.05,160.83,3259141.520712
2024-07-26,162.81,161.35,175.35,161.14,7108190.714873
2024-07-25,160.28,162.92,163,149.96,9174717.194008
2024-07-24,160.72,160.15,165.53,157.58,4525047.669362
2024-07-23,161.05,160.72,162.9,157.26,4738618.053957
2024-07-22,164.85,160.96,165.54,160.07,4850195.273604
2024-07-21,163.32,164.84,165.75,161.97,4340458.182161385
2024-07-20,161.42,163.27,164.85,161.26,2993803.036559724
2024-07-19,160.96,161.34,164,158.16,3173318.613186
2024-07-18,160.42,160.98,162.12,160,2638680.645559
2024-07-17,161.91,160.37,164.2,158.96,3928295.69148
2024-07-16,158.69,161.91,163.75,157.25,6322486.299207
2024-07-15,159.81,158.69,162.84,156.8,6680941.625995
